Question_id,Questions,Answers,Grade,Encoded Grade
1,What is unsupervised learning?,"Unsupervised learning is a type of machine learning where the model learns patterns in data without labeled outcomes, often through clustering or association.",Excellent,4.0
2,What is unsupervised learning?,"It involves identifying structures or relationships in data that isn't labeled, such as grouping similar items together.",Good,3.0
3,What is unsupervised learning?,"A technique where algorithms analyze data to uncover hidden patterns, without any predefined labels or target values.",Average,2.0
4,What is unsupervised learning?,"It is used when the output labels are unknown, and the model tries to discover the inherent structure of the data on its own.",Poor,1.0
5,What is unsupervised learning?,"In unsupervised learning, there is no target variable, and the model tries to learn from the features themselves.",Very Poor,0.0
6,What is overfitting in machine learning?,"Overfitting occurs when a model learns the noise or random fluctuations in the training data, causing poor generalization to unseen data.",Excellent,4.0
7,What is overfitting in machine learning?,It leads to poor performance on new data because the model is overly complex and captures irrelevant details from the training set.,Good,3.0
8,What is overfitting in machine learning?,Overfitting happens when the model becomes too specialized to the training data and loses its ability to predict accurately on new data.,Average,2.0
9,What is overfitting in machine learning?,"The model becomes excessively complex, capturing noise rather than general patterns, leading to poor prediction on unseen data.",Poor,1.0
10,What is overfitting in machine learning?,"Overfitting is a situation where a model learns every detail of the training data, including noise, which harms its ability to generalize to other datasets.",Very Poor,0.0
11,What is a confusion matrix?,A confusion matrix helps evaluate the performance of a classification model by displaying the actual vs. predicted classifications.,Excellent,4.0
12,What is a confusion matrix?,"The matrix shows true positives, false positives, true negatives, and false negatives, which are key to understanding model performance.",Good,3.0
13,What is a confusion matrix?,It is a tool used to assess classification model accuracy and helps identify types of errors made during predictions.,Average,2.0
14,What is a confusion matrix?,This matrix gives an overview of the number of correct vs incorrect predictions made by a classifier.,Poor,1.0
15,What is a confusion matrix?,"A confusion matrix is a visual representation of classification performance, indicating the number of true positives, true negatives, etc.",Very Poor,0.0
16,What is a neural network?,"A neural network is a model inspired by the human brain, designed to recognize patterns through layers of interconnected nodes.",Excellent,4.0
17,What is a neural network?,"It consists of layers of neurons connected through weighted edges, which learn to map inputs to outputs using backpropagation.",Good,3.0
18,What is a neural network?,"Neural networks are composed of an input layer, hidden layers, and an output layer that process and transform information.",Average,2.0
19,What is a neural network?,Neural networks are models that use interconnected nodes to process data and make predictions based on input patterns.,Poor,1.0
20,What is a neural network?,They mimic the human brain’s structure to perform tasks like classification and regression through various layers.,Very Poor,0.0
21,What is reinforcement learning?,Reinforcement learning is a type of machine learning where an agent learns by interacting with its environment and maximizing rewards through trial and error.,Excellent,4.0
22,What is reinforcement learning?,"It involves an agent learning to make decisions by receiving feedback in the form of rewards or penalties, commonly used in games and robotics.",Good,3.0
23,What is reinforcement learning?,"In this type of learning, an agent learns to achieve a goal through interaction with an environment, receiving rewards based on actions.",Average,2.0
24,What is reinforcement learning?,"Reinforcement learning focuses on rewarding positive actions and penalizing negative ones, guiding the agent to find the most optimal behavior.",Poor,1.0
25,What is reinforcement learning?,It is a learning model where an agent learns by trying out different actions to maximize cumulative rewards over time.,Very Poor,0.0
26,What is a decision tree?,"A decision tree is a flowchart-like structure used for classification and regression, where each node represents a decision based on a feature.",Excellent,4.0
27,What is a decision tree?,"It splits data into subsets based on a series of decision rules, eventually leading to predictions based on the tree’s structure.",Good,3.0
28,What is a decision tree?,"Decision trees recursively partition the data, using the best feature splits to make predictions for new instances.",Average,2.0
29,What is a decision tree?,"A decision tree algorithm splits the dataset into smaller chunks, each of which makes a decision on the predicted outcome.",Poor,1.0
30,What is a decision tree?,It is a machine learning algorithm used for making predictions by learning simple decision rules from the data.,Very Poor,0.0
31,What is feature engineering?,Feature engineering involves creating new features from raw data to improve the performance of machine learning models.,Excellent,4.0
32,What is feature engineering?,"It is the process of selecting, modifying, or creating new features from the data to make machine learning models more effective.",Good,3.0
33,What is feature engineering?,Feature engineering involves transforming data in ways that make it easier for machine learning models to find patterns.,Average,2.0
34,What is feature engineering?,It includes tasks like normalizing or scaling features to ensure they are ready for use by algorithms.,Poor,1.0
35,What is feature engineering?,"This process can involve selecting important variables, extracting new features, or simplifying data to enhance model performance.",Very Poor,0.0
36,What is cross-validation?,Cross-validation splits the data into multiple folds to test the model's performance across various subsets.,Excellent,4.0
